"row_id","order_id","order_date_day","ship_date_day","ship_mode","customer_id","country","state","city","postal_code","region","product_id","sales","quantity","discount","profit"
9648,CA-2014-150518,2014-11-19,2014-11-24,Standard Class,MW-18220,United States,Minnesota,Coon Rapids,"55433",Central,OFF-ST-10000877,221.1600,4,0.0000,57.5016
2382,CA-2016-118052,2016-05-06,2016-05-10,Standard Class,BE-11455,United States,Ohio,Lorain,"44052",East,FUR-FU-10004848,54.7120,7,0.2000,11.6263
8845,CA-2017-156664,2017-12-18,2017-12-23,Standard Class,BP-11290,United States,Ohio,Columbus,"43229",East,OFF-BI-10004209,7.2360,3,0.7000,-6.0300
3241,US-2016-127971,2016-11-20,2016-11-27,Standard Class,DW-13195,United States,Texas,Houston,"77095",Central,FUR-FU-10000023,7.0680,3,0.6000,-2.8272
5583,CA-2016-161158,2016-05-09,2016-05-13,Standard Class,PS-18970,United States,New York,New York City,"10024",East,OFF-AR-10000462,8.0000,5,0.0000,3.4400
3115,CA-2016-150350,2016-08-23,2016-08-30,Standard Class,MS-17770,United States,Washington,Seattle,"98105",West,OFF-PA-10002160,34.6800,6,0.0000,16.9932
1999,CA-2014-131905,2014-02-06,2014-02-09,First Class,ND-18460,United States,Virginia,Chesapeake,"23320",South,TEC-PH-10003645,161.6100,1,0.0000,42.0186
9494,CA-2016-105207,2016-01-03,2016-01-08,Standard Class,BO-11350,United States,Oklahoma,Broken Arrow,"74012",Central,FUR-TA-10000617,1592.8500,7,0.0000,350.4270
5580,CA-2017-137498,2017-09-09,2017-09-14,Second Class,LC-17050,United States,California,Los Angeles,"90004",West,FUR-CH-10003833,243.9200,5,0.2000,-15.2450
8536,US-2014-163146,2014-05-16,2014-05-20,Standard Class,CC-12475,United States,California,San Francisco,"94122",West,TEC-AC-10002217,56.4000,3,0.0000,3.3840
2329,CA-2017-138422,2017-09-23,2017-09-26,First Class,KN-16705,United States,Colorado,Fort Collins,"80525",West,OFF-EN-10004147,14.3520,3,0.2000,5.2026
9086,CA-2016-126102,2016-09-10,2016-09-12,Second Class,DV-13465,United States,California,Los Angeles,"90049",West,OFF-BI-10004318,276.7840,2,0.2000,89.9548
6006,CA-2015-100657,2015-11-02,2015-11-07,Standard Class,SW-20245,United States,New York,Troy,"12180",East,FUR-CH-10003535,109.7640,2,0.1000,8.5372
6717,CA-2016-134789,2016-04-08,2016-04-15,Standard Class,CK-12325,United States,Arkansas,Hot Springs,"71901",South,OFF-FA-10002280,30.0000,6,0.0000,14.4000
2668,CA-2016-111794,2016-10-01,2016-10-01,Same Day,HG-15025,United States,Texas,Amarillo,"79109",Central,OFF-PA-10000474,28.3520,1,0.2000,9.5688
8894,CA-2014-124723,2014-08-05,2014-08-12,Standard Class,GZ-14470,United States,Texas,Texas City,"77590",Central,FUR-TA-10001307,489.2300,2,0.3000,41.9340
4324,US-2015-147662,2015-02-14,2015-02-19,Standard Class,KB-16315,United States,Ohio,Akron,"44312",East,OFF-BI-10002160,2.2860,2,0.7000,-1.6764
3671,CA-2014-129364,2014-12-08,2014-12-13,Standard Class,TB-21250,United States,Oregon,Salem,"97301",West,OFF-PA-10001569,10.3680,2,0.2000,3.6288
1375,CA-2015-120362,2015-09-14,2015-09-19,Standard Class,CA-12265,United States,Utah,Provo,"84604",West,FUR-TA-10003008,912.7500,5,0.0000,118.6575
